,Dialogue_ID,Utterance_ID,model_pred,0,1,2,3,4,5,6
0,0,0,6,0.07866728,0.07954722,0.12784746,0.025738724,0.047009233,0.057820488,0.5833697
1,0,1,4,0.13041414,0.09162759,0.067095585,0.24639371,0.32164365,0.09367519,0.04915007
2,0,2,4,0.12808213,0.07960793,0.10204226,0.19884421,0.35103637,0.07576817,0.06461884
3,1,0,4,0.16377832,0.108711876,0.09647946,0.2102137,0.27193958,0.10673117,0.04214588
4,1,1,2,0.1642279,0.13015431,0.26614937,0.0864247,0.1364609,0.12940022,0.08718251
5,1,2,2,0.18160269,0.13121593,0.30333596,0.07546512,0.10411162,0.14183101,0.062437687
6,1,3,2,0.19509359,0.13962826,0.21503809,0.1090823,0.16688922,0.12383863,0.05042982
7,1,4,3,0.11300641,0.09342363,0.061338678,0.3026565,0.24967246,0.10130506,0.0785973
8,1,5,4,0.12102089,0.08968343,0.08456725,0.24200962,0.28920862,0.11208058,0.061429564
9,1,6,2,0.1642279,0.13015431,0.26614937,0.0864247,0.1364609,0.12940022,0.08718251
10,1,7,2,0.1642279,0.13015431,0.26614937,0.0864247,0.1364609,0.12940022,0.08718251
11,2,0,4,0.108913444,0.07500828,0.07166491,0.23082104,0.40098375,0.056593128,0.05601546
12,2,1,6,0.08552843,0.06466563,0.24267615,0.028782962,0.057457447,0.054793138,0.46609622
13,2,2,2,0.16938457,0.103285365,0.23632403,0.10658734,0.19915318,0.13138457,0.053880908
14,2,3,4,0.15105689,0.107562475,0.17472479,0.14588992,0.25513345,0.091605425,0.074026965
15,2,4,4,0.15482171,0.11531079,0.09172595,0.20435603,0.2942491,0.101170175,0.038366266
16,2,5,4,0.13788025,0.104475774,0.06646455,0.2708705,0.29084808,0.08987494,0.03958582
17,2,6,1,0.16573583,0.26790664,0.04653711,0.1992367,0.1434942,0.121459424,0.055630073
18,2,7,4,0.12220523,0.08721486,0.051781245,0.30774635,0.31457666,0.071768664,0.04470705
19,2,8,4,0.12220523,0.08721486,0.051781245,0.30774635,0.31457666,0.071768664,0.04470705
20,2,9,4,0.108913444,0.07500828,0.07166491,0.23082104,0.40098375,0.056593128,0.05601546
